freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.478e+01,4.417e+00,1.992e+01,9.912e+01
1.5,5.644e+01,1.728e+01,5.109e+01,1.248e+02
3.1,3.077e+01,1.880e+01,5.300e+01,1.026e+02
4.6,3.906e+02,1.934e+01,5.139e+01,4.613e+02
6.1,1.552e+03,1.880e+01,5.551e+01,1.626e+03
7.6,3.250e+03,2.301e+01,5.478e+01,3.328e+03
9.2,4.511e+03,2.546e+01,6.350e+01,4.599e+03
10.7,2.512e+03,2.212e+01,6.143e+01,2.595e+03
12.2,2.922e+03,2.175e+01,5.889e+01,3.003e+03
13.8,4.477e+03,2.075e+01,5.910e+01,4.556e+03
15.3,6.347e+03,2.323e+01,5.996e+01,6.430e+03
16.8,7.836e+03,2.616e+01,5.689e+01,7.919e+03
18.3,9.324e+03,3.094e+01,6.745e+01,9.423e+03
19.9,1.225e+04,4.468e+01,1.104e+02,1.240e+04
21.4,1.537e+04,6.727e+01,1.887e+02,1.563e+04
22.9,1.185e+04,8.663e+01,2.029e+02,1.214e+04
24.5,6.306e+03,9.841e+01,1.578e+02,6.563e+03
26.0,5.090e+03,1.320e+02,1.442e+02,5.367e+03
27.5,6.248e+03,1.720e+02,1.352e+02,6.556e+03
29.0,6.612e+03,2.198e+02,1.382e+02,6.970e+03
30.6,7.719e+03,3.186e+02,1.499e+02,8.188e+03
32.1,1.013e+04,4.798e+02,1.671e+02,1.077e+04
33.6,1.478e+04,6.358e+02,1.916e+02,1.561e+04
35.2,2.839e+04,7.042e+02,2.436e+02,2.934e+04
36.7,5.419e+04,5.281e+02,3.605e+02,5.508e+04
38.2,8.730e+04,5.144e+02,8.047e+02,8.862e+04
39.8,1.015e+05,1.466e+03,2.980e+03,1.059e+05
41.3,8.201e+04,3.701e+03,5.860e+03,9.157e+04
42.8,6.273e+04,4.410e+03,5.347e+03,7.248e+04
44.3,4.970e+04,2.082e+03,3.673e+03,5.546e+04
45.9,3.288e+04,6.861e+02,1.865e+04,5.222e+04
47.4,2.603e+04,3.799e+02,4.582e+04,7.223e+04
48.9,2.473e+04,2.331e+02,4.461e+04,6.957e+04
50.5,1.729e+04,1.974e+02,3.058e+04,4.807e+04
52.0,1.195e+04,2.136e+02,2.193e+04,3.410e+04
53.5,9.319e+03,3.955e+02,1.789e+04,2.761e+04
55.0,7.991e+03,8.121e+02,1.877e+04,2.757e+04
56.6,5.919e+03,1.304e+03,1.874e+04,2.596e+04
58.1,4.444e+03,1.651e+03,1.531e+04,2.140e+04
59.6,4.463e+03,1.747e+03,1.105e+04,1.726e+04
61.2,5.034e+03,1.774e+03,7.813e+03,1.462e+04
62.7,5.178e+03,1.970e+03,6.194e+03,1.334e+04
64.2,4.895e+03,2.752e+03,6.075e+03,1.372e+04
65.7,4.584e+03,4.268e+03,6.508e+03,1.536e+04
67.3,4.240e+03,5.799e+03,6.819e+03,1.686e+04
68.8,3.762e+03,6.734e+03,6.465e+03,1.696e+04
70.3,3.451e+03,6.938e+03,5.668e+03,1.606e+04
71.9,3.696e+03,4.610e+03,3.392e+03,1.170e+04
73.4,4.703e+03,2.145e+03,1.407e+03,8.255e+03
74.9,6.959e+03,1.022e+03,6.380e+02,8.619e+03
76.4,9.950e+03,6.611e+02,4.843e+02,1.110e+04
78.0,1.067e+04,5.950e+02,5.284e+02,1.180e+04
79.5,9.828e+03,8.043e+02,6.621e+02,1.129e+04
81.0,8.799e+03,1.167e+03,7.230e+02,1.069e+04
82.6,7.497e+03,1.042e+03,5.495e+02,9.089e+03
84.1,6.602e+03,6.713e+02,3.509e+02,7.624e+03
85.6,6.582e+03,4.474e+02,2.890e+02,7.318e+03
87.1,6.877e+03,3.379e+02,2.860e+02,7.501e+03
88.7,6.967e+03,2.609e+02,2.937e+02,7.522e+03
90.2,7.414e+03,2.069e+02,2.889e+02,7.910e+03
91.7,8.011e+03,1.747e+02,3.040e+02,8.489e+03
93.3,7.916e+03,1.579e+02,3.361e+02,8.410e+03
94.8,7.687e+03,1.585e+02,3.759e+02,8.221e+03
96.3,7.518e+03,1.293e+02,4.688e+02,8.116e+03
97.8,6.744e+03,1.380e+02,4.183e+02,7.300e+03
99.4,5.481e+03,3.105e+02,2.490e+02,6.041e+03
100.9,4.736e+03,4.572e+02,2.098e+02,5.403e+03
102.4,4.345e+03,5.158e+02,3.157e+02,5.176e+03
104.0,6.477e+03,5.419e+02,4.560e+02,7.475e+03
105.5,9.335e+03,6.145e+02,4.911e+02,1.044e+04
107.0,9.905e+03,7.439e+02,4.677e+02,1.112e+04
108.5,8.708e+03,8.322e+02,4.115e+02,9.951e+03
110.1,7.347e+03,8.593e+02,3.743e+02,8.581e+03
111.6,6.081e+03,8.016e+02,3.604e+02,7.243e+03
113.1,4.869e+03,6.757e+02,3.411e+02,5.886e+03
114.7,4.394e+03,5.575e+02,3.222e+02,5.274e+03
116.2,4.686e+03,5.350e+02,2.877e+02,5.508e+03
117.7,4.620e+03,4.900e+02,2.643e+02,5.374e+03
119.3,4.232e+03,4.213e+02,2.541e+02,4.907e+03
120.8,3.861e+03,3.499e+02,2.171e+02,4.428e+03
122.3,3.460e+03,2.894e+02,2.038e+02,3.953e+03
123.8,3.182e+03,2.889e+02,2.827e+02,3.754e+03
125.4,3.057e+03,3.073e+02,4.521e+02,3.817e+03
126.9,3.307e+03,3.221e+02,6.344e+02,4.264e+03
128.4,3.586e+03,2.707e+02,5.704e+02,4.428e+03
130.0,3.761e+03,2.116e+02,3.263e+02,4.298e+03
131.5,3.766e+03,1.950e+02,2.697e+02,4.230e+03
133.0,3.720e+03,1.307e+02,2.649e+02,4.115e+03
134.5,3.398e+03,7.734e+01,3.297e+02,3.805e+03
136.1,3.036e+03,8.280e+01,4.922e+02,3.611e+03
137.6,2.681e+03,6.811e+01,3.869e+02,3.136e+03
139.1,2.334e+03,5.633e+01,2.355e+02,2.626e+03
140.7,2.170e+03,5.978e+01,1.582e+02,2.388e+03
142.2,2.407e+03,7.253e+01,1.225e+02,2.602e+03
143.7,2.719e+03,7.539e+01,9.092e+01,2.885e+03
145.2,2.588e+03,8.053e+01,7.652e+01,2.745e+03
146.8,2.324e+03,9.815e+01,6.925e+01,2.491e+03
148.3,2.193e+03,1.135e+02,7.082e+01,2.377e+03
149.8,2.175e+03,1.034e+02,8.956e+01,2.368e+03
151.4,2.186e+03,8.085e+01,7.541e+01,2.342e+03
152.9,2.232e+03,6.755e+01,6.237e+01,2.362e+03
154.4,2.235e+03,6.694e+01,6.091e+01,2.363e+03
155.9,2.292e+03,7.050e+01,5.746e+01,2.420e+03
157.5,2.264e+03,8.102e+01,5.778e+01,2.403e+03
159.0,2.259e+03,9.319e+01,6.359e+01,2.416e+03
160.5,2.205e+03,1.168e+02,6.753e+01,2.389e+03
162.1,2.174e+03,1.534e+02,6.310e+01,2.390e+03
163.6,1.972e+03,2.268e+02,6.086e+01,2.259e+03
165.1,1.864e+03,3.357e+02,6.466e+01,2.264e+03
166.6,1.727e+03,4.916e+02,6.933e+01,2.288e+03
168.2,1.606e+03,6.814e+02,7.569e+01,2.364e+03
169.7,1.460e+03,9.836e+02,8.995e+01,2.534e+03
171.2,1.360e+03,1.400e+03,1.133e+02,2.873e+03
172.8,1.350e+03,1.955e+03,1.519e+02,3.456e+03
174.3,1.422e+03,2.520e+03,2.062e+02,4.148e+03
175.8,1.610e+03,2.906e+03,2.582e+02,4.774e+03
177.3,1.725e+03,2.955e+03,2.824e+02,4.962e+03
178.9,1.761e+03,2.758e+03,3.133e+02,4.832e+03
180.4,1.704e+03,2.422e+03,3.323e+02,4.458e+03
181.9,1.669e+03,2.061e+03,3.265e+02,4.057e+03
183.5,1.571e+03,1.623e+03,3.082e+02,3.502e+03
185.0,1.356e+03,1.167e+03,2.641e+02,2.787e+03
186.5,1.200e+03,8.576e+02,2.314e+02,2.289e+03
188.1,1.145e+03,7.311e+02,2.188e+02,2.095e+03
189.6,1.052e+03,6.048e+02,2.054e+02,1.863e+03
191.1,9.205e+02,4.409e+02,1.821e+02,1.543e+03
192.6,7.898e+02,3.114e+02,1.756e+02,1.277e+03
194.2,6.490e+02,2.346e+02,1.620e+02,1.046e+03
195.7,5.562e+02,1.895e+02,1.551e+02,9.008e+02
197.2,5.097e+02,1.580e+02,1.669e+02,8.346e+02
198.8,4.633e+02,1.342e+02,1.788e+02,7.763e+02
