freq,psd_x,psd_y,psd_z,psd_xyz
179.8,6.880e+03,2.490e+03,5.738e+02,9.944e+03
181.3,6.314e+03,2.576e+03,4.792e+02,9.369e+03
182.9,5.223e+03,2.541e+03,4.019e+02,8.166e+03
184.4,3.957e+03,2.376e+03,3.733e+02,6.706e+03
185.9,2.840e+03,2.163e+03,3.620e+02,5.366e+03
187.4,2.017e+03,1.926e+03,3.321e+02,4.275e+03
189.0,1.376e+03,1.699e+03,3.152e+02,3.390e+03
190.5,8.785e+02,1.458e+03,3.203e+02,2.657e+03
192.0,5.675e+02,1.300e+03,3.107e+02,2.178e+03
193.5,3.767e+02,1.099e+03,3.097e+02,1.786e+03
195.1,2.754e+02,9.310e+02,3.199e+02,1.526e+03
196.6,2.058e+02,8.664e+02,3.230e+02,1.395e+03
198.1,1.605e+02,8.121e+02,3.217e+02,1.294e+03
199.6,1.309e+02,7.397e+02,3.315e+02,1.202e+03
