freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.134e+01,9.266e+01,6.907e+01,1.931e+02
1.5,3.328e+01,6.842e+01,8.183e+01,1.835e+02
3.1,2.052e+01,3.160e+01,6.001e+01,1.121e+02
4.6,2.200e+01,3.938e+02,5.764e+01,4.735e+02
6.1,2.476e+01,1.535e+03,5.864e+01,1.618e+03
7.7,3.513e+01,2.969e+03,6.217e+01,3.067e+03
9.2,6.198e+01,4.845e+03,9.597e+01,5.003e+03
10.7,1.137e+02,3.021e+03,9.885e+01,3.234e+03
12.3,2.429e+02,2.593e+03,6.584e+01,2.902e+03
13.8,4.957e+02,4.118e+03,5.411e+01,4.668e+03
15.3,8.711e+02,5.933e+03,6.771e+01,6.872e+03
16.8,1.208e+03,7.416e+03,7.806e+01,8.701e+03
18.4,1.471e+03,9.618e+03,8.855e+01,1.118e+04
19.9,2.492e+03,1.333e+04,2.190e+02,1.604e+04
21.4,3.505e+03,1.508e+04,8.102e+02,1.939e+04
23.0,4.850e+03,1.145e+04,1.357e+03,1.766e+04
24.5,6.679e+03,8.695e+03,1.641e+03,1.702e+04
26.0,9.828e+03,8.806e+03,2.059e+03,2.069e+04
27.6,1.365e+04,1.010e+04,2.613e+03,2.636e+04
29.1,1.799e+04,1.329e+04,3.278e+03,3.456e+04
30.6,2.195e+04,1.725e+04,5.307e+03,4.451e+04
32.2,2.540e+04,2.139e+04,9.229e+03,5.602e+04
33.7,2.685e+04,3.452e+04,1.369e+04,7.506e+04
35.2,1.917e+04,7.013e+04,1.935e+04,1.086e+05
36.8,1.585e+04,1.204e+05,2.975e+04,1.660e+05
38.3,1.734e+04,1.803e+05,4.661e+04,2.442e+05
39.8,1.469e+04,2.260e+05,5.946e+04,3.002e+05
41.4,9.373e+03,2.102e+05,5.924e+04,2.788e+05
42.9,6.144e+03,1.622e+05,5.380e+04,2.221e+05
44.4,4.119e+03,1.154e+05,5.119e+04,1.707e+05
45.9,3.358e+03,8.434e+04,1.097e+05,1.974e+05
47.5,2.878e+03,7.220e+04,1.896e+05,2.647e+05
49.0,2.151e+03,5.039e+04,1.755e+05,2.281e+05
50.5,2.442e+03,3.140e+04,1.383e+05,1.721e+05
52.1,4.699e+03,2.064e+04,1.149e+05,1.403e+05
53.6,9.384e+03,1.457e+04,1.137e+05,1.376e+05
55.1,1.613e+04,9.406e+03,1.325e+05,1.581e+05
56.7,2.160e+04,4.393e+03,1.350e+05,1.610e+05
58.2,2.353e+04,3.324e+03,1.066e+05,1.334e+05
59.7,2.220e+04,5.405e+03,6.536e+04,9.296e+04
61.3,2.059e+04,7.801e+03,3.990e+04,6.829e+04
