freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.844e+01,6.412e+00,1.097e+01,4.582e+01
1.6,2.819e+01,1.841e+01,5.507e+01,1.017e+02
3.2,3.184e+01,1.885e+01,6.085e+01,1.115e+02
4.7,4.068e+02,1.907e+01,6.256e+01,4.884e+02
6.3,1.476e+03,1.972e+01,6.184e+01,1.557e+03
7.9,2.546e+03,2.355e+01,6.350e+01,2.633e+03
9.5,1.931e+03,2.680e+01,6.189e+01,2.020e+03
11.1,2.015e+03,2.504e+01,6.045e+01,2.100e+03
12.7,2.405e+03,2.229e+01,6.535e+01,2.493e+03
14.2,2.838e+03,2.168e+01,6.631e+01,2.926e+03
15.8,3.481e+03,2.490e+01,6.843e+01,3.575e+03
17.4,4.008e+03,3.057e+01,6.986e+01,4.108e+03
19.0,3.988e+03,4.476e+01,7.935e+01,4.112e+03
20.6,3.351e+03,6.493e+01,1.047e+02,3.521e+03
22.2,2.996e+03,1.212e+02,1.036e+02,3.221e+03
23.7,3.006e+03,2.178e+02,1.131e+02,3.337e+03
25.3,3.139e+03,3.096e+02,1.284e+02,3.577e+03
26.9,3.243e+03,4.240e+02,1.317e+02,3.799e+03
28.5,3.256e+03,5.448e+02,1.247e+02,3.925e+03
30.1,3.360e+03,6.658e+02,1.325e+02,4.158e+03
31.7,3.169e+03,7.997e+02,1.415e+02,4.111e+03
33.2,3.282e+03,9.492e+02,1.502e+02,4.382e+03
34.8,3.772e+03,1.302e+03,1.901e+02,5.264e+03
36.4,4.194e+03,2.174e+03,2.040e+02,6.572e+03
38.0,4.333e+03,3.297e+03,2.551e+02,7.886e+03
39.6,4.459e+03,3.055e+03,3.602e+02,7.874e+03
41.2,4.788e+03,1.911e+03,4.218e+02,7.121e+03
42.7,5.117e+03,1.004e+03,4.735e+02,6.595e+03
44.3,6.009e+03,6.413e+02,4.704e+02,7.121e+03
45.9,7.944e+03,6.610e+02,3.589e+02,8.964e+03
47.5,9.217e+03,1.055e+03,3.827e+02,1.065e+04
49.1,9.584e+03,1.850e+03,4.964e+02,1.193e+04
50.7,8.718e+03,2.755e+03,4.674e+02,1.194e+04
52.2,7.117e+03,3.354e+03,4.209e+02,1.089e+04
53.8,6.045e+03,3.986e+03,3.219e+02,1.035e+04
55.4,6.856e+03,5.203e+03,3.197e+02,1.238e+04
57.0,8.440e+03,7.553e+03,4.090e+02,1.640e+04
58.6,9.888e+03,8.683e+03,4.624e+02,1.903e+04
60.2,1.104e+04,5.866e+03,4.282e+02,1.733e+04
61.7,1.160e+04,2.981e+03,3.795e+02,1.496e+04
63.3,1.093e+04,1.930e+03,3.714e+02,1.324e+04
64.9,9.594e+03,1.923e+03,3.878e+02,1.190e+04
66.5,8.897e+03,1.710e+03,4.512e+02,1.106e+04
68.1,9.693e+03,1.145e+03,4.599e+02,1.130e+04
69.7,1.008e+04,8.443e+02,3.526e+02,1.127e+04
71.2,1.011e+04,6.938e+02,2.763e+02,1.108e+04
72.8,9.768e+03,5.572e+02,2.989e+02,1.062e+04
74.4,9.132e+03,4.866e+02,3.105e+02,9.929e+03
76.0,9.248e+03,4.813e+02,3.760e+02,1.011e+04
77.6,1.126e+04,4.794e+02,4.573e+02,1.220e+04
79.1,1.470e+04,4.707e+02,4.599e+02,1.563e+04
80.7,1.909e+04,4.961e+02,4.252e+02,2.001e+04
82.3,2.204e+04,5.234e+02,3.290e+02,2.289e+04
83.9,2.411e+04,5.438e+02,2.331e+02,2.489e+04
85.5,2.518e+04,5.027e+02,1.832e+02,2.587e+04
87.1,2.559e+04,5.180e+02,1.801e+02,2.629e+04
88.6,2.467e+04,6.496e+02,2.499e+02,2.557e+04
90.2,2.303e+04,1.684e+03,6.272e+02,2.534e+04
91.8,2.169e+04,3.322e+03,1.273e+03,2.628e+04
93.4,1.927e+04,2.812e+03,1.164e+03,2.324e+04
95.0,1.575e+04,3.718e+03,1.187e+03,2.065e+04
96.6,1.580e+04,7.963e+03,2.090e+03,2.586e+04
98.1,1.836e+04,8.963e+03,2.882e+03,3.020e+04
99.7,2.027e+04,5.690e+03,2.762e+03,2.872e+04
101.3,2.113e+04,5.982e+03,3.662e+03,3.077e+04
102.9,2.069e+04,7.547e+03,5.478e+03,3.371e+04
104.5,1.998e+04,9.845e+03,7.814e+03,3.764e+04
106.1,1.839e+04,9.333e+03,7.885e+03,3.560e+04
107.6,1.683e+04,5.688e+03,5.053e+03,2.757e+04
109.2,1.520e+04,2.967e+03,2.952e+03,2.112e+04
110.8,1.346e+04,1.901e+03,2.434e+03,1.779e+04
112.4,1.251e+04,1.445e+03,2.322e+03,1.627e+04
114.0,1.108e+04,9.877e+02,1.767e+03,1.383e+04
115.6,1.042e+04,5.819e+02,1.226e+03,1.223e+04
117.1,9.645e+03,3.384e+02,7.537e+02,1.074e+04
118.7,9.132e+03,2.546e+02,4.559e+02,9.842e+03
120.3,8.601e+03,2.388e+02,3.196e+02,9.159e+03
121.9,8.213e+03,3.146e+02,2.638e+02,8.792e+03
123.5,8.176e+03,3.894e+02,4.030e+02,8.968e+03
125.1,7.141e+03,3.806e+02,6.951e+02,8.217e+03
126.6,6.418e+03,3.477e+02,8.072e+02,7.573e+03
128.2,5.995e+03,3.073e+02,7.355e+02,7.038e+03
129.8,5.902e+03,3.023e+02,6.420e+02,6.846e+03
131.4,5.468e+03,4.259e+02,6.244e+02,6.518e+03
133.0,5.059e+03,4.908e+02,5.100e+02,6.060e+03
134.6,4.491e+03,4.196e+02,5.922e+02,5.503e+03
136.1,4.039e+03,4.489e+02,6.473e+02,5.135e+03
137.7,3.792e+03,5.560e+02,5.981e+02,4.946e+03
139.3,3.524e+03,6.385e+02,8.214e+02,4.984e+03
140.9,3.576e+03,8.368e+02,1.106e+03,5.518e+03
142.5,3.374e+03,1.188e+03,1.299e+03,5.861e+03
144.0,3.436e+03,1.557e+03,1.353e+03,6.347e+03
145.6,3.301e+03,1.837e+03,1.271e+03,6.409e+03
147.2,3.091e+03,2.001e+03,1.121e+03,6.213e+03
148.8,3.832e+03,3.047e+03,2.322e+03,9.201e+03
150.4,3.638e+03,2.726e+03,2.576e+03,8.940e+03
152.0,2.708e+03,7.670e+02,1.243e+03,4.718e+03
153.5,3.345e+03,3.926e+02,1.506e+03,5.243e+03
155.1,3.799e+03,4.669e+02,1.483e+03,5.749e+03
156.7,3.744e+03,6.075e+02,1.215e+03,5.566e+03
158.3,3.499e+03,7.116e+02,9.445e+02,5.156e+03
159.9,2.752e+03,7.550e+02,6.495e+02,4.157e+03
161.5,2.411e+03,8.823e+02,5.276e+02,3.821e+03
163.0,2.380e+03,1.034e+03,4.812e+02,3.895e+03
164.6,2.274e+03,1.092e+03,4.606e+02,3.827e+03
166.2,2.204e+03,1.172e+03,4.210e+02,3.797e+03
167.8,2.092e+03,1.173e+03,3.431e+02,3.609e+03
169.4,2.159e+03,1.123e+03,3.527e+02,3.635e+03
171.0,2.267e+03,1.134e+03,4.249e+02,3.826e+03
172.5,2.409e+03,1.205e+03,4.478e+02,4.061e+03
174.1,2.461e+03,1.253e+03,4.271e+02,4.140e+03
175.7,2.479e+03,1.246e+03,4.096e+02,4.135e+03
177.3,2.332e+03,1.068e+03,3.224e+02,3.722e+03
178.9,2.279e+03,9.939e+02,2.962e+02,3.569e+03
180.5,2.183e+03,9.716e+02,2.850e+02,3.440e+03
182.0,2.165e+03,9.146e+02,3.083e+02,3.387e+03
183.6,2.272e+03,8.665e+02,3.583e+02,3.497e+03
185.2,2.462e+03,8.346e+02,3.865e+02,3.683e+03
186.8,2.457e+03,7.527e+02,4.086e+02,3.618e+03
188.4,2.554e+03,7.382e+02,4.504e+02,3.742e+03
190.0,2.705e+03,7.419e+02,4.875e+02,3.934e+03
191.5,2.909e+03,7.482e+02,5.320e+02,4.189e+03
193.1,2.968e+03,8.061e+02,5.766e+02,4.351e+03
194.7,3.213e+03,9.525e+02,6.284e+02,4.794e+03
196.3,2.513e+03,6.853e+02,4.495e+02,3.647e+03
197.9,1.456e+03,2.729e+02,2.510e+02,1.980e+03
199.5,1.227e+03,1.850e+02,2.276e+02,1.639e+03
