freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.622e+01,7.009e+00,1.068e+01,5.391e+01
1.6,3.337e+01,1.883e+01,5.218e+01,1.044e+02
3.2,3.241e+01,1.894e+01,6.202e+01,1.134e+02
4.7,3.553e+02,1.833e+01,6.549e+01,4.391e+02
6.3,1.314e+03,1.917e+01,6.250e+01,1.396e+03
7.9,2.357e+03,2.247e+01,6.512e+01,2.444e+03
9.5,1.687e+03,2.594e+01,6.255e+01,1.775e+03
11.1,1.431e+03,2.468e+01,6.699e+01,1.523e+03
12.6,1.753e+03,2.180e+01,7.037e+01,1.845e+03
14.2,2.017e+03,1.949e+01,7.034e+01,2.107e+03
15.8,2.407e+03,1.974e+01,7.375e+01,2.501e+03
17.4,2.784e+03,2.005e+01,7.633e+01,2.881e+03
18.9,3.114e+03,2.095e+01,1.003e+02,3.235e+03
20.5,3.138e+03,2.597e+01,1.568e+02,3.321e+03
22.1,3.065e+03,3.578e+01,1.799e+02,3.281e+03
23.7,3.488e+03,5.886e+01,1.881e+02,3.735e+03
25.3,4.295e+03,9.717e+01,1.846e+02,4.576e+03
26.8,4.678e+03,1.221e+02,1.943e+02,4.994e+03
28.4,5.063e+03,1.305e+02,2.097e+02,5.404e+03
30.0,6.103e+03,1.911e+02,2.155e+02,6.509e+03
31.6,7.085e+03,2.654e+02,2.264e+02,7.576e+03
33.2,7.681e+03,3.383e+02,2.402e+02,8.259e+03
34.7,8.554e+03,6.028e+02,2.239e+02,9.380e+03
36.3,9.300e+03,1.522e+03,1.971e+02,1.102e+04
37.9,9.234e+03,4.112e+03,3.383e+02,1.369e+04
39.5,8.953e+03,7.948e+03,1.043e+03,1.794e+04
41.1,9.600e+03,7.233e+03,1.582e+03,1.842e+04
42.6,1.052e+04,5.721e+03,1.803e+03,1.804e+04
44.2,1.303e+04,4.798e+03,1.786e+03,1.962e+04
45.8,1.573e+04,3.763e+03,1.677e+03,2.117e+04
47.4,1.685e+04,3.193e+03,1.836e+03,2.188e+04
48.9,1.640e+04,2.819e+03,1.796e+03,2.101e+04
50.5,1.572e+04,2.693e+03,1.589e+03,2.000e+04
52.1,1.415e+04,2.081e+03,1.289e+03,1.752e+04
53.7,1.291e+04,1.272e+03,9.057e+02,1.508e+04
55.3,1.785e+04,1.802e+03,7.439e+02,2.040e+04
56.8,2.247e+04,4.821e+03,7.545e+02,2.804e+04
58.4,2.334e+04,8.214e+03,8.392e+02,3.239e+04
60.0,2.269e+04,4.854e+03,6.181e+02,2.816e+04
61.6,2.177e+04,1.292e+03,5.904e+02,2.365e+04
63.2,1.988e+04,5.452e+02,6.210e+02,2.104e+04
64.7,1.626e+04,8.062e+02,6.450e+02,1.771e+04
66.3,1.269e+04,1.168e+03,8.169e+02,1.468e+04
67.9,1.255e+04,8.326e+02,8.405e+02,1.423e+04
69.5,1.259e+04,3.897e+02,6.085e+02,1.359e+04
71.1,1.241e+04,3.557e+02,4.634e+02,1.323e+04
72.6,1.193e+04,5.056e+02,4.000e+02,1.284e+04
74.2,9.694e+03,6.531e+02,4.059e+02,1.075e+04
75.8,7.654e+03,8.580e+02,4.689e+02,8.981e+03
77.4,9.374e+03,1.129e+03,5.312e+02,1.103e+04
79.0,1.440e+04,1.177e+03,5.564e+02,1.613e+04
80.5,1.800e+04,7.808e+02,4.950e+02,1.928e+04
82.1,1.922e+04,4.398e+02,3.722e+02,2.003e+04
83.7,2.003e+04,3.406e+02,2.983e+02,2.066e+04
85.3,1.989e+04,3.677e+02,2.481e+02,2.050e+04
86.8,1.878e+04,4.405e+02,2.112e+02,1.943e+04
88.4,1.781e+04,6.798e+02,1.784e+02,1.867e+04
90.0,1.723e+04,1.242e+03,1.623e+02,1.864e+04
91.6,1.607e+04,2.227e+03,1.841e+02,1.848e+04
93.2,1.518e+04,4.902e+03,7.629e+02,2.085e+04
94.7,1.467e+04,6.215e+03,1.129e+03,2.202e+04
96.3,1.502e+04,4.399e+03,8.943e+02,2.031e+04
97.9,1.539e+04,3.271e+03,8.480e+02,1.951e+04
99.5,1.650e+04,2.351e+03,6.990e+02,1.955e+04
101.1,1.770e+04,2.007e+03,6.817e+02,2.039e+04
102.6,1.875e+04,1.851e+03,6.916e+02,2.129e+04
104.2,1.916e+04,1.635e+03,7.403e+02,2.153e+04
105.8,1.826e+04,1.379e+03,7.262e+02,2.036e+04
107.4,1.706e+04,1.320e+03,7.861e+02,1.917e+04
109.0,1.579e+04,1.378e+03,1.068e+03,1.824e+04
110.5,1.464e+04,1.137e+03,1.218e+03,1.700e+04
112.1,1.266e+04,7.442e+02,1.096e+03,1.450e+04
113.7,1.092e+04,4.957e+02,9.585e+02,1.237e+04
115.3,9.349e+03,3.963e+02,8.658e+02,1.061e+04
116.8,8.003e+03,3.141e+02,7.155e+02,9.033e+03
118.4,6.960e+03,2.127e+02,5.759e+02,7.749e+03
120.0,6.282e+03,1.527e+02,4.523e+02,6.887e+03
121.6,6.271e+03,1.464e+02,3.123e+02,6.730e+03
123.2,6.542e+03,1.673e+02,2.076e+02,6.917e+03
124.7,6.162e+03,1.854e+02,2.523e+02,6.600e+03
126.3,5.260e+03,2.707e+02,4.896e+02,6.021e+03
127.9,4.835e+03,3.608e+02,6.350e+02,5.831e+03
129.5,4.556e+03,3.962e+02,6.819e+02,5.634e+03
131.1,4.197e+03,4.385e+02,7.329e+02,5.368e+03
132.6,3.741e+03,4.433e+02,6.600e+02,4.844e+03
134.2,3.452e+03,3.905e+02,7.402e+02,4.583e+03
135.8,3.219e+03,3.511e+02,8.186e+02,4.389e+03
137.4,3.014e+03,4.592e+02,7.316e+02,4.205e+03
139.0,3.200e+03,5.111e+02,1.146e+03,4.858e+03
140.5,3.572e+03,5.887e+02,1.548e+03,5.709e+03
142.1,3.750e+03,7.261e+02,1.598e+03,6.075e+03
143.7,3.659e+03,8.116e+02,1.346e+03,5.816e+03
145.3,3.429e+03,8.064e+02,9.874e+02,5.223e+03
146.8,3.085e+03,7.592e+02,7.322e+02,4.577e+03
148.4,3.669e+03,1.590e+03,2.035e+03,7.294e+03
150.0,4.166e+03,1.779e+03,2.988e+03,8.933e+03
151.6,3.040e+03,3.597e+02,1.730e+03,5.130e+03
153.2,3.618e+03,7.978e+01,1.846e+03,5.544e+03
154.7,3.902e+03,4.949e+01,1.859e+03,5.811e+03
156.3,3.668e+03,7.604e+01,1.745e+03,5.489e+03
157.9,3.189e+03,1.217e+02,1.465e+03,4.775e+03
159.5,2.446e+03,1.900e+02,1.115e+03,3.752e+03
161.1,2.066e+03,3.087e+02,8.636e+02,3.239e+03
162.6,2.052e+03,4.510e+02,7.318e+02,3.235e+03
164.2,2.028e+03,6.362e+02,6.228e+02,3.287e+03
165.8,1.911e+03,8.446e+02,4.714e+02,3.227e+03
167.4,1.783e+03,9.365e+02,3.562e+02,3.076e+03
169.0,1.844e+03,8.829e+02,4.005e+02,3.127e+03
170.5,2.036e+03,9.629e+02,4.910e+02,3.490e+03
172.1,2.157e+03,1.317e+03,5.565e+02,4.031e+03
173.7,2.205e+03,1.851e+03,6.089e+02,4.665e+03
175.3,2.089e+03,2.203e+03,6.051e+02,4.898e+03
176.9,1.881e+03,2.190e+03,5.785e+02,4.649e+03
178.4,1.780e+03,1.897e+03,5.997e+02,4.277e+03
180.0,1.858e+03,1.565e+03,5.382e+02,3.961e+03
181.6,1.973e+03,1.360e+03,4.793e+02,3.812e+03
183.2,2.087e+03,1.231e+03,4.236e+02,3.741e+03
184.7,2.211e+03,1.150e+03,3.689e+02,3.730e+03
186.3,2.120e+03,1.037e+03,3.326e+02,3.489e+03
187.9,2.000e+03,8.583e+02,2.944e+02,3.153e+03
189.5,2.064e+03,8.002e+02,2.592e+02,3.123e+03
191.1,2.036e+03,7.461e+02,2.174e+02,2.999e+03
192.6,1.908e+03,6.783e+02,1.798e+02,2.766e+03
194.2,1.770e+03,6.301e+02,1.617e+02,2.562e+03
195.8,1.825e+03,6.637e+02,1.513e+02,2.640e+03
197.4,1.901e+03,7.075e+02,1.584e+02,2.767e+03
199.0,1.718e+03,6.939e+02,1.672e+02,2.579e+03
